id,name,address,city,country,zipcode,created_at,updated_at,mainstreet,crossstreet,key,owner,image,hotelID,source
536,DoubleTree by Hilton Washington D.C.,1515 Rhode Island Ave Nw,Washington D C,US,20005,,,,,,,,110582,expedia
537,The Melrose Hotel,2430 Pennsylvania Ave Nw,Washington D C,US,20037,,,,,,,,112114,expedia
538,Loews Madison Hotel,1177 15th Street NW,Washington D C,US,20005,,,,,,,,111990,expedia
539,The Capital Hilton,1001 16th St NW,Washington D C,US,20036,,,,,,Ashford Hospitality Prime (AHP),,112940,expedia
540,The George Washington University Inn,824 New Hampshire Ave Nw,Washington D C,US,20037,,,,,,,,113398,expedia
541,Willard InterContinental Washington,1401 Pennsylvania Ave Nw,Washington D C,US,20004,,,,,,,,113432,expedia
542,One Washington Circle Hotel,1 Washington Circle NW,Washington D C,US,20037,,,,,,,,113618,expedia
543,Washington Hilton,1919 Connecticut Ave Nw,Washington D C,US,20009,,,,,,,,112939,expedia
544,Park Hyatt Washington,"1201 24th Street, NW",Washington D C,US,20037,,,,,,,,112959,expedia
545,Washington Guest Suites,801 New Hampshire Ave NW,Washington D C,US,20037,,,,,,,,115466,expedia
546,The Hay-Adams,800 16th Street NW,Washington D C,US,20006,,,,,,,,115862,expedia
547,"Fairfield Inn & Suites Washington, DC/Downtown",500 H Street NW,Washington D C,US,20001,,,,,,,,114774,expedia
548,Capitol Hill Hotel,200 C St SE,Washington D C,US,20003,,,,,,,,113395,expedia
549,The Graham Georgetown,1075 Thomas Jefferson St NW,Washington D C,US,20007,,,,,,,,115347,expedia
550,Beacon Hotel & Corporate Quarters,1615 Rhode Island Ave Nw,Washington D C,US,20036,,,,,,,,115381,expedia
551,Embassy Suites Washington DC,1250 22nd St NW,Washington D C,US,20037,,,,,,,,117528,expedia
552,Latham Hotel Georgetown,3000 M St Nw,Washington D C,US,20007,,,,,,,,116082,expedia
553,"The Mayflower Renaissance Washington, DC Hotel",1127 Connecticut Ave Nw,Washington D C,US,20036,,,,,,,,114648,expedia
554,Four Seasons Hotel Washington D.C.,2800 Pennsylvania Ave Nw,Washington D C,US,20007,,,,,,Strategic Hotels and Resort (BEE),,115062,expedia
555,L'Enfant Plaza Hotel,480 L'Enfant Plaza SW,Washington D C,US,20024,,,,,,,,115125,expedia
556,"Courtyard Washington, DC/Dupont Circle by Marriott",1900 Connecticut Ave NW,Washington D C,US,20009,,,,,,,,117798,expedia
557,Holiday Inn Express Washington DC Northeast,1917 Bladensburg Rd Ne,Washington D C,US,20002,,,,,,,,118662,expedia
558,"Renaissance Washington, DC Downtown Hotel",999 9th St Nw,Washington D C,US,20001,,,,,,Sunstone Hotel Investors (SHO),,120147,expedia
559,Phoenix Park Hotel,520 N Capitol St NW,Washington D C,US,20001,,,,,,,,121922,expedia
560,Embassy Suites Chevy Chase Pavilion,4300 Military Rd Nw,Washington D C,US,20015,,,,,,,,124600,expedia
561,The Churchill Hotel,1914 Connecticut Ave NW,Washington D C,US,20009,,,,,,Ashford Hospitality Trust (AHT),,125471,expedia
562,Washington Court Hotel,525 New Jersey Ave Nw,Washington D C,US,20001,,,,,,,,122162,expedia
563,The Fairmont Washington D.C.,2401 M Street NW,Washington D C,US,20037,,,,,,,,126091,expedia
564,Morrison Clark Hotel,1015 L St Nw,Washington D C,US,20001,,,,,,,,126891,expedia
565,Hotel Lombardy,2019 Pennsylvania Ave Nw,Washington D C,US,20006,,,,,,,,125466,expedia
566,The Henley Park Hotel,926 Massachusetts Ave NW,Washington D C,US,20001,,,,,,,,125467,expedia
567,Savoy Suites Hotel,2505 Wisconsin Ave Nw,Washington D C,US,20007,,,,,,,,126824,expedia
568,W Washington D.C.,"515 15th Street, NW",Washington D C,US,20004,,,,,,,,126820,expedia
569,Howard Johnson Express Inn Washington DC,600 New York Ave Ne,Washington D C,US,20002,,,,,,,,127209,expedia
570,HARRINGTON HOTEL,436 11TH ST. NW,Washington D C,US,20004,,,,,,,,129536,expedia
571,Georgetown Inn,1310 Wisconsin Ave Nw,Washington D C,US,20007,,,,,,,,131023,expedia
572,"Hotel Madera, a Kimpton Hotel",1310 New Hampshire Ave Nw,Washington D C,US,20036,,,,,,,,137733,expedia
573,Courtyard Washington Embassy Row by Marriott,1600 Rhode Island Ave Nw,Washington D C,US,20036,,,,,,,,138084,expedia
574,"The Hotel George, a Kimpton Hotel",15 E St NW,Washington D C,US,20001,,,,,,,,135870,expedia
575,Washington Marriott Wardman Park,2660 Woodley Road NW,Washington D C,US,20008,,,,,,,,141212,expedia
576,Days Inn Washington DC/Gateway,2700 New York Ave Ne,Washington D C,US,20002,,,,,,,,138458,expedia
577,"The St. Regis Washington, D.C.",923 16th St Nw,Washington D C,US,20006,,,,,,,,141181,expedia
578,Westin Washington DC,"1400 M Street, NW",Washington D C,US,20005,,,,,,DiamondRock Hospitality (DRH),,145345,expedia
579,"Residence Inn by Marriott Washington, DC Downtown",1199 Vermont Ave Nw,Washington D C,US,20005,,,,,,,,141959,expedia
580,Quality Inn Washington Downtown DC,501 New York Ave Ne,Washington D C,US,20002,,,,,,,,142244,expedia
581,Crowne Plaza Hamilton,1001 14th St NW,Washington D C,US,20005,,,,,,,,148831,expedia
582,Comfort Inn & Suites New York Avenue,1600 New York Avenue NE,Washington D C,US,20002,,,,,,,,141756,expedia
583,"The Fairfax at Embassy Row, Starwood Luxury Collection",2100 Massachusetts Avenue NW,Washington D C,US,20008,,,,,,,,145327,expedia
584,Courtyard Washington Convention Center,900 F St Nw,Washington D C,US,20004,,,,,,,,151672,expedia
585,"Renaissance Washington, DC Dupont Circle Hotel",1143 New Hampshire Ave NW,Washington D C,US,20037,,,,,,,,161604,expedia
586,Club Quarters in Washington DC,839 17th St NW,Washington D C,US,20006,,,,,,,,164268,expedia
587,The Dupont Circle Hotel,1500 New Hampshire Ave Nw,Washington D C,US,20036,,,,,,,,164272,expedia
588,The Jefferson,1200 16th St NW,Washington D C,US,20036,,,,,,,,164281,expedia
589,Hilton Garden Inn Washington DC Downtown,815 14th St NW,Washington D C,US,20005,,,,,,,,169921,expedia
590,Four Points by Sheraton Washington D.C. Downtown,1201 K St Nw,Washington D C,US,20005,,,,,,,,169642,expedia
591,Best Western Georgetown Hotel & Suites,1121 New Hampshire Ave Nw,Washington D C,US,20037,,,,,,,,163193,expedia
592,The Normandy Hotel,2118 Wyoming Ave NW,Washington D C,US,20008,,,,,,,,164284,expedia
593,"The Ritz-Carlton, Washington, D.C.",1150 22nd St Nw,Washington D C,US,20037,,,,,,,,171503,expedia
594,Homewood Suites by Hilton Washington DC,1475 Massachusetts Ave NW,Washington D C,US,20005,,,,,,,,173762,expedia
595,Washington Plaza,10 Thomas Circle NW,Washington D C,US,20005,,,,,,,,172232,expedia
596,Capitol Skyline,10 'I' Street SW,Washington D C,US,20024,,,,,,,,176104,expedia
597,St. Gregory Luxury Hotel And Suites,2033 M St Nw,Washington D C,US,20036,,,,,,,,172592,expedia
598,"Topaz Hotel, a Kimpton Hotel",1733 N St NW,Washington D C,US,20036,,,,,,,,172290,expedia
599,Sofitel Washington DC Lafayette Square,806 15th Street NW,Washington D C,US,20005,,,,,,,,180701,expedia
600,Embassy Inn,1627 16th St Nw,Washington D C,US,20009,,,,,,,,185788,expedia
601,Embassy Row Hotel,2015 Massachusetts Ave NW,Washington D C,US,20036,,,,,,,,194845,expedia
602,Kellogg Conference Hotel at Gallaudet University,800 Florida Avenue NE,Washington D C,US,20002-3695,,,,,,,,191575,expedia
603,"Residence Inn by Marriott Washington, DC/Dupont Circle",2120 P St NW,Washington D C,US,20037,,,,,,,,198997,expedia
604,"The Ritz-Carlton, Georgetown","3100 South St, NW",Washington D C,US,20007,,,,,,,,207034,expedia
605,"Hotel Monaco Washington DC, a Kimpton Hotel",700 F St Nw,Washington D C,US,20004,,,,,,Pebblebrook Hotel Trust (PEB),,203623,expedia
606,District Hotel,1440 Rhode Island Ave Nw,Washington D C,US,20005,,,,,,,,220404,expedia
607,Comfort Inn Convention Center/Downtown,1201 13th St Nw,Washington D C,US,20005,,,,,,,,218002,expedia
608,Motel 6 Washington D.C.,6711 Georgia Ave Nw,Washington D C,US,20012,,,,,,,,216802,expedia
609,"Mandarin Oriental, Washington D.C.",1330 Maryland Ave Sw,Washington D C,US,20024,,,,,,,,218907,expedia
610,Georgetown University Hotel and Conference Center,3800 Reservoir Rd NW,Washington D C,US,20057,,,,,,,,221930,expedia
611,Hampton Inn Washington-Downtown-Convention Center,901 6th St Nw,Washington D C,US,20001,,,,,,,,223656,expedia
612,"Residence Inn Washington, DC /Capitol",333 E St Sw,Washington D C,US,20024,,,,,,,,223632,expedia
613,Embassy Suites Washington Convention Center,900 10th St NW,Washington D C,US,20001,,,,,,,,232357,expedia
614,AKA WHITE HOUSE,1710 H Street NW,Washington D C,US,20006,,,,,,,,234183,expedia
615,Courtyard by Marriott Capitol Hill/Navy Yard,140 L St Se,Washington D C,US,20003,,,,,,Cheseapeake Lodging Trust (CHSP),,238596,expedia
616,"Hotel Palomar Washington DC, a Kimpton Hotel",2121 P St Nw,Washington D C,US,20037,,,,,,,,240093,expedia
617,Fairfield Inn by Marriott Washington D.C.,2305 New York Ave Ne,Washington D C,US,20002,,,,,,,,263266,expedia
618,OAKWOOD AT THE FLATS AT DUPONT,2000 N STREET NW,Washington D C,US,20036,,,,,,,,259385,expedia
619,The River Inn,924 25th St NW,Washington D C,US,20037,,,,,,,,259688,expedia
620,"Donovan House, a Kimpton Hotel",1155 14th St Nw,Washington D C,US,20005,,,,,,,,263287,expedia
621,The Eldon Luxury Suites,933 L Street NW,Washington D C,US,20001,,,,,,,,309393,expedia
622,"Courtyard Washington, DC/U.S. Capitol",1325 2nd Street NE,Washington D C,US,20002,,,,,,,,309926,expedia
623,THE MANSION ON O STREET,2020 O Street NW,Washington D C,US,20036,,,,,,,,339539,expedia
624,EXECUSTAY AT 425 MASS,425 Massachusetts Ave NW,Washington D C,US,20001,,,,,,,,358500,expedia
625,Hilton Garden Inn Washington DC/US Capitol,1225 First St NE,Washington D C,US,20002,,,,,,,,373136,expedia
626,WOODWARD BUILDING,733 15th Street NW,Washington D C,US,20005,,,,,,,,393541,expedia
627,The Baron Hotel,1523 22nd Street NW,Washington D C,US,20037,,,,,,,,394648,expedia
628,EXECUSTAY AT RESIDENCES ON THE,2221 I Steet NW,Washington D C,US,20037,,,,,,,,390845,expedia
629,OAKWOOD LEXINGTON AT MARKET SQ,400 8th Street,Washington D C,US,20004,,,,,,,,393240,expedia
630,BRIDGESTREET AT MERIDIAN,450 Massachusetts Avenue North,Washington D C,US,20001,,,,,,,,393540,expedia
631,"Courtyard Washington, DC/Foggy Bottom",515 20th Street NW,Washington D C,US,20052,,,,,,,,424781,expedia
632,Capella Washington DC Georgetown,1050 31st St Nw,Washington D C,US,20007,,,,,,,,422469,expedia
633,"Hampton Inn Washington, D.C./White House",1729 H St Nw,Washington D C,US,20006,,,,,,,,427529,expedia
634,The Concordia,1250 New Hampshire Ave. NW,Washington D C,US,20036,,,,,,,,430460,expedia
635,Bally's Las Vegas,3645 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Caesars Entertainment (CZR),,107128,expedia
636,MGM Grand Hotel and Casino,3799 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,MGM Resorts International (MGM),,108540,expedia
637,Days Inn Las Vegas Nm,2000 N Grand Ave,Las Vegas,US,87701,,,,,,,,108687,expedia
638,Days Inn Las Vegas At Wild Wild West Gambling Hall,3330 W Tropicana Ave,Las Vegas,US,89103,,,,,,,,109787,expedia
639,the D Las Vegas,301 Fremont St,Las Vegas,US,89101,,,,,,,,110925,expedia
640,Rodeway Inn Las Vegas,2028 Fremont St,Las Vegas,US,89101,,,,,,,,111323,expedia
641,Travelodge Las Vegas Center Strip,3735 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,111474,expedia
642,Residence Inn Las Vegas Convention Center by Marriott,3225 Paradise Rd,Las Vegas,US,89109,,,,,,,,111564,expedia
643,Flamingo Las Vegas,3555 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Caesars Entertainment (CZR),,112914,expedia
644,La Quinta Inn & Suites Las Vegas Airport North Convention,3970 Paradise Rd,Las Vegas,US,89109,,,,,,,,113420,expedia
645,Alexis Park All Suite Resort,375 E Harmon Ave,Las Vegas,US,89109,,,,,,,,114139,expedia
646,LVH - Las Vegas Hotel & Casino - formerly Las Vegas Hilton,3000 S. Paradise Road,Las Vegas,US,89109,,,,,,,,112915,expedia
647,Comfort Inn Airport,4350 Paradise Rd,Las Vegas,US,89109,,,,,,,,114985,expedia
648,Harrah's Hotel and Casino Las Vegas,3475 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Caesars Entertainment (CZR),,113149,expedia
649,Howard Johnson Inn - Las Vegas Strip,1401 Las Vegas Blvd S,Las Vegas,US,89104,,,,,,,,115302,expedia
650,Palace Station Hotel and Casino,2411 W Sahara Ave,Las Vegas,US,89102,,,,,,,,117354,expedia
651,Gold Coast Hotel and Casino,4000 W Flamingo Rd,Las Vegas,US,89103,,,,,,,,115845,expedia
652,Boulder Station Hotel and Casino,4111 Boulder Hwy,Las Vegas,US,89121,,,,,,,,116021,expedia
653,Americas Best Value Inn & Suites,167 E Tropicana Ave,Las Vegas,US,89109,,,,,,,,114705,expedia
654,Riviera Hotel And Casino,2901 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,116531,expedia
655,The Quad Resort & Casino,3535 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,115163,expedia
656,Stratosphere Hotel - Casino & Resort Hotel,2000 Las Vegas Blvd S,Las Vegas,US,89104,,,,,,,,118903,expedia
657,Bill's Gamblin' Hall,3595 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,115838,expedia
658,Travelodge Ambassador Strip Inn Las Vegas,5075 Koval Ln,Las Vegas,US,89119,,,,,,,,118553,expedia
659,Tropicana Las Vegas,3801 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,121569,expedia
660,Aruba Hotel & Spa,1215 Las Vegas Blvd S,Las Vegas,US,89104,,,,,,,,119076,expedia
661,Bellagio,3600 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,119566,expedia
662,Circus Circus Hotel & Casino,2880 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,MGM Resorts International (MGM),,118583,expedia
663,Courtyard by Marriott Las Vegas Convention Center,3275 Paradise Rd,Las Vegas,US,89109,,,,,,,,121143,expedia
664,Caesars Palace Featuring Nobu Hotel,3570 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Caesars Entertainment (CZR),,124363,expedia
665,Luxor Hotel and Casino,3900 S. Las Vegas Blvd,Las Vegas,US,89119,,,,,,MGM Resorts International (MGM),,122212,expedia
666,Rio All-Suite Hotel & Casino,3700 W Flamingo Rd,Las Vegas,US,89103,,,,,,Caesars Entertainment (CZR),,122695,expedia
667,New York-New York Hotel & Casino,3790 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,MGM Resorts International (MGM),,123169,expedia
668,Monte Carlo Resort and Casino,3770 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,MGM Resorts International (MGM),,123792,expedia
669,On The Vegas Boulevard Hotel,1150 S. Las Vegas Boulevard,Las Vegas,US,89104,,,,,,,,127565,expedia
670,Rumor Boutique Hotel,455 E Harmon Ave,Las Vegas,US,89169,,,,,,,,128176,expedia
671,Fortune Hotel & Suites,325 E Flamingo Rd,Las Vegas,US,89109,,,,,,,,125009,expedia
672,Fairfield Inn by Marriott Las Vegas Airport,3850 South Paradise Rd,Las Vegas,US,89109,,,,,,,,125080,expedia
673,Crossland Economy Studios - Las Vegas - Boulder Highway,4240 Boulder Hwy,Las Vegas,US,89121,,,,,,,,128990,expedia
674,Four Queens Hotel and Casino,202 Fremont St,Las Vegas,US,89101,,,,,,,,128868,expedia
675,Golden Gate Hotel and Casino,1 Fremont St,Las Vegas,US,89101,,,,,,,,130152,expedia
676,The Orleans Hotel & Casino,4500 W Tropicana Ave,Las Vegas,US,89103,,,,,,,,130897,expedia
677,"The Westin Las Vegas Hotel, Casino & Spa",160 E Flamingo Rd,Las Vegas,US,89109,,,,,,,,136353,expedia
678,Hyatt Place Las Vegas,4520 Paradise Rd,Las Vegas,US,89169,,,,,,,,136643,expedia
679,Embassy Suites Las Vegas,4315 Swenson Street,Las Vegas,US,89119,,,,,,Ashford Hospitality Trust (AHT),,138633,expedia
680,TI - Treasure Island Hotel and Casino,3300 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,134556,expedia
681,The Carriage House,105 E Harmon Ave,Las Vegas,US,89109,,,,,,,,140285,expedia
682,Sam's Town Hotel & Gambling Hall,5111 Boulder Hwy,Las Vegas,US,89122,,,,,,,,140416,expedia
683,Excalibur Hotel Casino,3850 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,135542,expedia
684,Fremont Hotel & Casino,200 Fremont St,Las Vegas,US,89101,,,,,,,,140903,expedia
685,La Quinta Inn and Suites Las Vegas Summerlin Tech,7101 Cascade Valley Ct,Las Vegas,US,89128,,,,,,,,141026,expedia
686,Las Vegas Marriott,325 Convention Center Drive,Las Vegas,US,89109,,,,,,,,136349,expedia
687,Residence Inn by Marriott Las Vegas Hughes Center,370 Hughes Center Drive,Las Vegas,US,89169,,,,,,Ashford Hospitality Trust (AHT),,141962,expedia
688,Hampton Inn Las Vegas/Summerlin,7100 Cascade Valley Ct,Las Vegas,US,89128,,,,,,,,139511,expedia
689,BUDGET STES OF AMER PARADISE,3684 PARADISE ROAD,Las Vegas,US,89109,,,,,,,,140455,expedia
690,"Arizona Charlie's Boulder - Casino Hotel, Suites, & RV Park",4575 Boulder Hwy,Las Vegas,US,89121,,,,,,,,140206,expedia
691,"Main Street Station Hotel, Casino and Brewery",200 N Main St,Las Vegas,US,89101,,,,,,,,140898,expedia
692,Silverton Casino Hotel,3333 Blue Diamond Rd,Las Vegas,US,89139,,,,,,,,140473,expedia
693,Claremont Hotel Las Vegas,2601 Westwood Drive,Las Vegas,US,89109,,,,,,,,143330,expedia
694,La Quinta Inn Las Vegas Nellis,4288 N Nellis Blvd,Las Vegas,US,89115,,,,,,,,142028,expedia
695,Super 8 Las Vegas NM,2029 N Hwy 85,Las Vegas,US,87701,,,,,,,,142864,expedia
696,The Venetian Resort Hotel & Casino,3355 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Las Vegas Sands (LVS),,147594,expedia
697,Mirage Resort & Casino,3400 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,MGM Resorts International (MGM),,149069,expedia
698,Best Western Plus Las Vegas West,8669 W Sahara Ave,Las Vegas,US,89117,,,,,,,,150008,expedia
699,Santa Fe Station Hotel & Casino,4949 N Rancho Dr,Las Vegas,US,89130,,,,,,,,160640,expedia
700,Hampton Inn Tropicana,4975 Dean Martin Drive,Las Vegas,US,89118,,,,,,,,152219,expedia
701,Extended Stay Deluxe Las Vegas - East Flamingo,1550 E Flamingo Rd,Las Vegas,US,89119,,,,,,,,149423,expedia
702,Planet Hollywood Resort & Casino,3667 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Caesars Entertainment (CZR),,163430,expedia
703,Candlewood Suites Las Vegas,4034 Paradise Rd,Las Vegas,US,89169,,,,,,Hospitality Property Trust (HPT),,164432,expedia
704,Las Vegas Club Hotel & Casino,18 East Fremont Street,Las Vegas,US,89101,,,,,,,,163435,expedia
705,Four Seasons Hotel Las Vegas,3960 Las Vegas Blvd S,Las Vegas,US,89119,,,,,,MGM Resorts International (MGM),,163438,expedia
706,Hard Rock Hotel and Casino featuring HRH Tower Suites,4455 Paradise Rd,Las Vegas,US,89169,,,,,,,,163443,expedia
707,Mandalay Bay Resort And Casino,3950 Las Vegas Blvd S,Las Vegas,US,89119,,,,,,MGM Resorts International (MGM),,163446,expedia
708,J W Marriott Las Vegas Resort,221 N Rampart Blvd,Las Vegas,US,89144,,,,,,,,163453,expedia
709,Golden Nugget Hotel & Casino,129 Fremont St,Las Vegas,US,89101,,,,,,,,152625,expedia
710,Plaza Hotel and Casino - Las Vegas,1 Main Street,Las Vegas,US,89101,,,,,,,,152693,expedia
711,Homestead Studio Suites - Las Vegas - Midtown,3045 S Maryland Pkwy,Las Vegas,US,89109,,,,,,,,164867,expedia
712,DoubleTree by Hilton Hotel Las Vegas Airport,7250 Pollock Dr,Las Vegas,US,89119,,,,,,,,153578,expedia
713,Embassy Suites Convention Center - Las Vegas,3600 Paradise Road,Las Vegas,US,89109,,,,,,,,169340,expedia
714,Courtyard by Marriott Las Vegas Summerlin,1901 N Rainbow Blvd,Las Vegas,US,89108,,,,,,Hospitality Property Trust (HPT),,169142,expedia
715,Paris Las Vegas,3655 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Caesars Entertainment (CZR),,161293,expedia
716,Quality Inn,4975 South Valley View,Las Vegas,US,89118,,,,,,,,164965,expedia
717,Rodeway Inn Las Vegas Convention Center,220 Convention Center Dr,Las Vegas,US,89109,,,,,,,,172792,expedia
718,BEST WESTERN MAIN STREET INN,1000 North  Main Street,Las Vegas,US,89101,,,,,,,,177188,expedia
719,Suncoast Hotel and Casino,9090 Alta Dr,Las Vegas,US,89145,,,,,,,,173945,expedia
720,Super 8 Las Vegas Nellis AFB Area,4435 Las Vegas Blvd N,Las Vegas,US,89115,,,,,,,,174097,expedia
721,Aviation Inn,5330 E Craig Road,Las Vegas,US,89115,,,,,,,,176353,expedia
722,Travelodge Las Vegas,2830 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,,,174511,expedia
723,Stay Suites of America North Las Vegas,4244 N. Las Vegas Blvd,Las Vegas,US,89115,,,,,,,,187495,expedia
724,La Quinta Inn & Suites Las Vegas-Red Rock/Summerlin,9570 W Sahara Ave,Las Vegas,US,89117,,,,,,,,190739,expedia
725,California Hotel and Casino,12 E Ogden Ave,Las Vegas,US,89101,,,,,,,,193212,expedia
726,Best Western Mardi Gras Hotel & Casino,3500 Paradise Rd,Las Vegas,US,89169,,,,,,,,193214,expedia
727,Terrible's Hotel & Casino,4100 Paradise Rd,Las Vegas,US,89169,,,,,,,,193218,expedia
728,Tuscany Suites & Casino,255 E Flamingo Rd,Las Vegas,US,89169,,,,,,,,199782,expedia
729,MALIBU BAY SUITES,8440 LAS VEGAS BLVD SOUTH,Las Vegas,US,89123,,,,,,,,200205,expedia
730,Arizona Charlie's Decatur - Casino Hotel & Suites,740 S. Decatur Boulevard,Las Vegas,US,89107,,,,,,,,200305,expedia
731,El Cortez Hotel and Casino,600 Fremont St,Las Vegas,US,89101,,,,,,,,193216,expedia
732,BUDGET SUITES OF AMERICA STAR,1500 STARDUST ROAD,Las Vegas,US,89109,,,,,,,,195194,expedia
733,The Palms Casino Resort,4321 W Flamingo Rd,Las Vegas,US,89103,,,,,,,,196532,expedia
734,Hotel Suites of America,3684 Paradise Road,Las Vegas,US,89109,,,,,,,,202313,expedia
735,Super 8 - Las Vegas Strip Area,4250 Koval Lane,Las Vegas,US,89109,,,,,,,,200908,expedia
736,Royal Resort,99 Convention Center Dr,Las Vegas,US,89109,,,,,,,,199321,expedia
737,Crestwood Suites Las Vegas Boulevard,7260 Las Vegas Blvd S,Las Vegas,US,89119,,,,,,,,197443,expedia
738,Holiday Inn Express Las Vegas-Nellis,4035 N Nellis Blvd,Las Vegas,US,89115,,,,,,,,197651,expedia
739,Binion's Gambling Hall and Hotel,128 Fremont St,Las Vegas,US,89101,,,,,,,,205745,expedia
740,Best Western McCarran Inn,4970 Paradise Rd,Las Vegas,US,89119,,,,,,,,199365,expedia
741,Gold Spike Hotel and Casino,217 N Las Vegas Blvd,Las Vegas,US,89101,,,,,,,,206650,expedia
742,Crestwood Suites Las Vegas Flamingo,2530 E Flamingo Rd,Las Vegas,US,89121,,,,,,,,206943,expedia
743,Artisan Hotel,1501 W Sahara Ave,Las Vegas,US,89102,,,,,,,,207502,expedia
744,Nellis Suites at Main Gate,4555 Las Vegas Blvd N,Las Vegas,US,89115,,,,,,,,211848,expedia
745,Hilton Grand Vacations Suites at the Flamingo,3575 Las Vegas Blvd South,Las Vegas,US,89109,,,,,,,,212291,expedia
746,Somerset House Motel,294 Convention Center Drive,Las Vegas,US,89109,,,,,,,,217609,expedia
747,Courtyard by Marriott Las Vegas South,5845 Dean Martin Dr.,Las Vegas,US,89118,,,,,,,,217958,expedia
748,Residence Inn by Marriott Las Vegas South,5875 Dean Martin Drive,Las Vegas,US,89118,,,,,,,,218104,expedia
749,Fairfield Inn and Suites by Marriott Las Vegas South,5775 Dean Martin Drive,Las Vegas,US,89118,,,,,,,,217954,expedia
750,Royal Vacation Suites,99 Convention Center Dr,Las Vegas,US,89109,,,,,,,,221801,expedia
751,Super 8 Las Vegas,1213 South Las Vegas Blvd,Las Vegas,US,89104,,,,,,,,218777,expedia
752,Holiday Inn Express Las Vegas South,5760 Polaris Ave,Las Vegas,US,89118,,,,,,,,218337,expedia
753,Siena Suites,6555 Boulder Highway,Las Vegas,US,89122,,,,,,,,226812,expedia
754,SUNRISE INN,910 E CHEYENNE AVE N,Las Vegas,US,89030,,,,,,,,224662,expedia
755,Hilton Garden Inn Las Vegas Strip South,7830 Las Vegas Blvd S,Las Vegas,US,89123,,,,,,,,225697,expedia
756,Renaissance Las Vegas Hotel,3400 Paradise Rd,Las Vegas,US,89109,,,,,,,,222790,expedia
757,Oakwood at Summerlin,2600 SOUTH TOWN CENTER DR,Las Vegas,US,89135,,,,,,,,226644,expedia
758,Wynn Las Vegas,3131 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Wynn Resorts (WYNN),,228169,expedia
759,THEhotel at Mandalay Bay,3950 Las Vegas Blvd South,Las Vegas,US,89119,,,,,,MGM Resorts International (MGM),,230758,expedia
760,"Red Rock Casino, Resort and Spa",11011 W Charleston Blvd,Las Vegas,US,89135,,,,,,,,237130,expedia
761,The Signature at MGM Grand,145 East Harmon Avenue,Las Vegas,US,89109,,,,,,MGM Resorts International (MGM),,239698,expedia
762,"South Point Hotel, Casino, and Spa",9777 Las Vegas Blvd S,Las Vegas,US,89183,,,,,,,,235986,expedia
763,Hooters Casino Hotel,115 E. Tropicana,Las Vegas,US,89109,,,,,,,,236148,expedia
764,Blair House Suites,344 E Desert Inn Rd,Las Vegas,US,89109,,,,,,,,246793,expedia
765,KNIGHTS INN LAS VEGAS NV,5125 Swenson Street,Las Vegas,US,89119,,,,,,,,239947,expedia
766,Comfort Inn & Suites,4375 E. Craig Road,Las Vegas,US,89115,,,,,,,,252951,expedia
767,Baymont Inn & Suites Las Vegas South Strip,55 E Robindale Road,Las Vegas,US,89123,,,,,,,,254186,expedia
768,Hampton Inn & Suites Las Vegas - Red Rock/Summerlin,4280 S Grand Canyon Dr,Las Vegas,US,89147,,,,,,RLJ Lodging Trust (RLJ),,255158,expedia
769,Raintrees at Polo Towers Las Ve,3745 Las Vegas Blvd South,Las Vegas,US,89109,,,,,,,,252169,expedia
770,The Palazzo Resort Hotel & Casino,3255 Las Vegas Blvd S,Las Vegas,US,89109,,,,,,Las Vegas Sands (LVS),,259462,expedia
771,Extended Stay America Las Vegas - Valley View,4270 S Valley View Blvd,Las Vegas,US,89103,,,,,,,,262457,expedia
772,Homewood Suites by Hilton Las Vegas Airport,230 Hidden Well Rd,Las Vegas,US,89119,,,,,,,,258852,expedia
773,Trump International Hotel Las Vegas,2000 Fashion Show Drive,Las Vegas,US,89109,,,,,,,,266151,expedia
774,Holiday Inn Express Hotel & Suites Las Vegas I-215 S Beltway,6220 S Rainbow Blvd,Las Vegas,US,89118,,,,,,,,262960,expedia
775,Stay Suites of America Las Vegas (South),5201 Dean Martin Dr,Las Vegas,US,89118,,,,,,,,262380,expedia
